UBICACION,LAT_GEO,LON_GEO
"Cauca, Inzá, TUMBICHUCUE, LOS ALPES - RIO SUCIO",2.5041615,-76.1319953
"Cauca, Inzá, SINAI, SAN MIGUEL",2.5041615,-76.1319953
"Antioquia, Santa Bárbara, EL VERGEL, MORRO PLANCHO",5.874190899999999,-75.5674243
"Tolima, Chaparral, RIO NEGRO, LA BEGONIA",3.7440073,-75.5742467
"Tolima, Chaparral, HATO VIEJO, LA BEGONIA",3.7440073,-75.5742467
"Boyacá, Ventaquemada, SIATA, BOQUERON",5.3667212,-73.52096519999999
"Boyacá, Ventaquemada, SUPATA, FRUTILLO",5.3667212,-73.52096519999999
"Boyacá, Ventaquemada, BOJIRQUE, CHOQUIRA",5.4032779,-73.48036619999999
"Antioquia, Santa Bárbara, SAN ISIDRO PARTE BAJA, ZARCITOS",5.874190899999999,-75.5674243
"Tolima, Prado, LA CHICA, BELLO HORIZONTE",3.74973,-74.92773199999999
"Antioquia, Santa Bárbara, YARUMALITO, URSULA",5.948789,-75.575492
"Tolima, Chaparral, LAS MESETAS, SAN PABLO HERMOSAS",3.4267,-74.97751
"Boyacá, Ventaquemada, EL CARMEN, MONTOYA",5.3667212,-73.52096519999999
"Casanare, Tauramena, CHAPARRAL, LAGUNITAS",5.010684899999999,-72.750495
"Antioquia, Santa Bárbara, SAN MIGUELITO, LAS MERCEDES",5.874190899999999,-75.5674243
"Casanare, Támara, SAN PEDRO, ECCEHOMO",5.8302464,-72.16258880000001
"Cundinamarca, Une, COMBURA, LA MESA",4.632147,-74.46301400000002
"Cundinamarca, Une, COMBURA, AREA CON CONFLICTO CATASTRAL",4.3988399,-74.0477117
"Tolima, Prado, CAIDA DE TENA, TAFURITO",3.74973,-74.92773199999999
"Tolima, Prado, ACO, BUENOS AIRES",3.74973,-74.92773199999999
"Casanare, Tauramena, PALMAR, ACEITE ALTO",5.011883500000001,-72.7394539
"Casanare, Tauramena, IQUIA, MONSERRATE ALTO",5.066669999999999,-72.81661000000001
"Tolima, Prado, BELLO HORIZONTE, LA CHICA",4.092516799999999,-75.1545381
"Casanare, Támara, LOMA REDONDA, EL BUJIO",2.94142,-76.32941
"Casanare, Támara, CUNETE, SANTO DOMINGO",6.4714987,-75.1644735
"Cundinamarca, Une, SAN ISIDRO, LA MESA",4.632147,-74.46301400000002
"Casanare, Tauramena, BATALLERA, CHITAMENA BAJO",4.94318,-72.68946
"Cundinamarca, Une, LLANITOS, QUECA",4.20785,-74.11635
"Casanare, Támara, UNE, CAMPO HERMOSO",5.71617,-71.47812990000001
